,Agent,Dateofbirth,Latesttransfer,CIESvalue,TMvalue,Totaltransfers,Timeinyouthteam,Goalkicks,Dominantfoot,Position,Maincompetition,Salary,Startofcontract,Contractexpiration,Previousclub,Releaseclause,Saves,Dribble,Defender,Transfers,Offthebench,Altura,Ageinlastgame,Previouscompetition,Currentclub,Ageondebut,Countryofbirth,ELO,Market value,Othershirtnumbers,Tempo,Placeofbirth,Timescalledup,Nacionalidad(es),Physical,Pass,Placement,Mostcommonshirtnumber,Matchesasastarter,Shot,Stretch,Debut,Reflexes,Liga,Lastmatch,Marketvalue,Jump,Provider,Latestrenewal,Potential,Regionofbirth,Edad,Continentofbirth
Zaldua,,24June1992,,,,,,,Right,DF(Defender),LaLiga,,,,R.Sociedad,,,67,59,,,176,,LaLiga,Cádiz,,Spain,69,3.1,"20,31",69,Donostia/SanSebastián,,Spain,73,65,,2,,43,,,,Liga Española,,,,,,75,EuropadelSur,30,Europe
Santiago Arzamendia,,05May1998,,4M€,1.5M€,,,,Left,DF(Defender),LaLiga,186.2k€annual,08-07-2021,30-06-2025,CerroPorteño,,,,,transfer,,172,,ClausuraParaguay,Cádiz,,Argentina,64,3.8,"19,2,6,18,23,17,20",,Wanda,,Paraguay,,,,21,,,,,,Liga Española,,3.8M€,,,,71,Sudamérica,24,AmericadelSur
Jorge Meré,,17April1997,,,,,RealOviedo(2005–2010),,Right,DF(Defender),LaLiga,,,,Mazatlán,,,65,53,,,182,,LigaMXClausura,Cádiz,,Spain,62,2,"4,28,25,17,193,5",67,Oviedo,1,Spain,71,49,,22,,35,,,,Liga Española,,,,,,71,EuropadelSur,25,Europe
Juan Cala,,26November1989,,,,,AtléticoAntoniano,,Right,DF(Defender),LaLiga,,,,LasPalmas,,,60,52,,,185,,SecondDivision,Cádiz,,Spain,60,1.1,"4,6,28,27,5,20,19,31,15,14",60,Lebrija,1,Spain,76,63,,16,,57,,,,Liga Española,,,,,,76,EuropadelSur,33,Europe
Carlos García,OFSPORTS,07July2000,,1M€,,,,,Right,DF(Defender),LaLiga,15.1k€annual,01-07-2019,30-06-2024,CádizCFMirandilla,,,,,transfer,,0.2,,SegundaDivisiónRFEF,Cádiz,,Spain,56,,"26,3,30,15",,Barcelona,,Spain,,,,12,,,,,,Liga Española,,,,,,67,EuropadelSur,22,Europe
Mamadou Mbaye,ExtraTimeSportsU.K.,28June1998,,,700k€,,,,Left,DF(Defender),LaLiga,,01-01-2022,30-06-2024,CádizCFMirandilla,,,,,transfer,,190,,SegundaDivisiónRFEF,Cádiz,,Senegal,55,0.3,"5,34,14,32",,Saint-Louis,,Senegal,,,,15,,,,,,Liga Española,,,,,,60,AfricaOccidental,24,Africa
Álex Fernández,NiagaraSportsCompany,15October1992,,3M€,5M€,,R.S.D.Alcalá,,Right,MID(Midfielder),LaLiga,473.7k€annual,07-08-2017,30-06-2025,Elche,,,67,67,transfer,,182,,LaLiga,Cádiz,,Spain,74,8.2,"19,18,9,22,30,7",54,AlcaládeHenares,,Spain,65,73,,8,,63,,,,Liga Española,,8.2M€,,,06-06-2022,78,EuropadelSur,30,Europe
Rubén Alcaraz,LEADERBROCK,01May1991,,2M€,2M€,,,,Right,MID(Midfielder),LaLiga,681.7k€annual,03-08-2018,30-06-2024,RealValladolid,,,58,63,transfer,,180,,LaLiga,Cádiz,,Spain,71,4.5,"4,32,6",57,Barcelona,,Spain,64,68,,14,,69,,,,Liga Española,,4.5M€,,,,75,EuropadelSur,31,Europe
Fede San Emeterio,,16March1997,,,,,,,Right,MID(Midfielder),LaLiga,,,,RealValladolid,,,60,61,,1,174,18years,LaLiga,Cádiz,17years,Spain,66,3.8,"20,16,8,14,29,12",63,SierradeIbio,3,Spain,70,61,,24,2,57,,27/01/2015,,Liga Española,08/09/2015,,,,,71,EuropadelSur,25,Europe
Gonzalo Escalante,YOUFIRST,27March1993,,2M€,2M€,,,,Right,MID(Midfielder),LaLiga,2.2M€annual,01-09-2020,30-06-2024,Cremonese,,,69,61,transfer,,179,,SerieA,Cádiz,,Argentina,64,2.7,"16,18,8,32,17,33",66,SanMiguel,,Argentina,72,71,,5,,63,,,,Liga Española,,2.7M€,,,,73,Sudamérica,29,AmericadelSur
José Mari,,06December1987,,,,,,,Right,MID(Midfielder),LaLiga,,,,Levante,,,67,55,,,180,,SecondDivision,Cádiz,,Spain,62,0.5,"15,22,25,3,5",68,Rota,,Spain,71,67,,6,,67,,,,Liga Española,,,,,,71,EuropadelSur,35,Europe
Youba Diarra,12MANagement,24March1998,,,1M€,,YeelenOlympique,,Right,MID(Midfielder),LaLiga,249.4k€annual,30-01-2018,30-06-2027,Salzburg,,,67,53,transfer,,178,,AustrianBundesliga,Cádiz,,,55,1.4,"26,24,32,16,12",70,,,Mali,71,62,,44,,58,,,,Liga Española,,1.4M€,,,,63,,24,
Jon Ander Garrido,,09October1989,,,,,,,Right,MID(Midfielder),LaLiga,,,,Mirandés,,,,,,,185,,SecondDivision,Cádiz,,Spain,54,0.3,"6,18,20",,Bilbao,,Spain,,,,5,,,,,,Liga Española,,,,,,70,EuropadelSur,33,Europe
Antonio Blanco,BestofYou,23July2000,,25M€,3.5M€,,"Montalbán(2007-2010),Seneca(2010-2013)",,Right,MID(Midfielder),SecondDivision,341.1k€annual,01-07-2019,30-06-2024,Cádiz,,,,,transfer,,176,,LaLiga,DeportivoAlavés,,Spain,54,2.4,"16,31,27,37,36",,MontalbándeCórdoba,,Spain,,,,6,,,,,,Liga Española,,2.4M€,,,,63,EuropadelSur,22,Europe
Á. Bastida,DRL,12May2004,,,900k€,,APASanctiPetri,,Right,MID(Midfielder),SegundaDivisiónRFEF,,,30-06-2026,Cádiz,,,,,transfer,,170,,LaLiga,CádizCFMirandilla,,Spain,50,0.7,"10,30,18,14,31",,ChiclanadelaFrontera,,Spain,,,,38,,,,,,Liga Española,,673k€,,,18-10-2021,71,EuropadelSur,18,Europe
Rubén Sobrino,LEADERBROCK,01June1992,,2M€,2M€,,DaimielED(1998-2008),,Two-Footed,STR(Striker),LaLiga,1.1M€annual,30-08-2021,30-06-2024,Valencia,25M€,,75,37,transfer,,182,,LaLiga,Cádiz,,Spain,71,5,"23,11,21,18,20,19,29",79,Daimiel,,Spain,68,62,,7,,71,,,,Liga Española,,5M€,,Nike,,77,EuropadelSur,30,Europe
Théo Bongonda,BenKouiderGroup,20November1995,,6M€,4M€,,"SCLodelinsart(2005-2007),RSCCharleroi(2007-2009),JMGAcademyLier(2009-2013),ZulteWaregem(",,Left,STR(Striker),LaLiga,1M€annual,01-07-2019,30-06-2026,Genk,,,84,40,transfer,,177,,BelgianProLeague,Cádiz,,Belgium,71,8,"27,7,95,18,21,16",81,Charleroi,,TheDemocraticRepublicOfCongo,72,71,,10,,71,,,,Liga Española,,8M€,,,,78,EuropaOccidental,27,Europe
Álvaro Negredo,NiagaraSportsCompany,20August1985,,1M€,1.2M€,,,,Left,STR(Striker),LaLiga,1.4M€annual,04-08-2020,30-06-2023,AlNasrDubai,,,67,39,transfer,,186,,ArabiaGulfLeague,Cádiz,,Spain,70,0.6,"18,7,11,10,19,42",63,Madrid,,Spain,75,61,,9,,74,,,,Liga Española,,545k€,,NewBalance,31-03-2022,87,EuropadelSur,37,Europe
Choco Lozano,Promoesport,25April1993,,2M€,2.8M€,,,,Right,STR(Striker),LaLiga,1M€annual,04-08-2020,30-06-2023,Girona,,,73,38,transfer,,182,,LaLiga,Cádiz,,Honduras,69,6.3,"19,22,11",80,Yoro,,Honduras,74,64,,9,,60,,,,Liga Española,,6.3M€,,,,75,CentralAmerica,29,AmericadelSur
Roger Martí,Promoesport,03January1991,,,2.5M€,,,,Right,STR(Striker),LaLiga,1.3M€annual,01-01-2013,30-06-2026,Elche,,,76,45,transfer,,179,,LaLiga,Cádiz,,Spain,69,3.6,"18,14,15,23,27,34",77,Torrent,,Spain,75,59,,9,,66,,,,Liga Española,,3.6M€,,,,78,EuropadelSur,32,Europe
Chris Ramos,CONTROLORIENTADO,18January1997,,,1M€,,Desconocido:TiempoLibreADJuvenil,,Right,STR(Striker),LaLiga,266.8k€annual,31-01-2023,30-06-2028,CDLugo,,,70,28,transfer,,190,,SecondDivision,Cádiz,,Spain,66,1.9,"12,19,45",82,Cadiz,,Spain,68,46,,16,,53,,,,Liga Española,,1.9M€,,,,72,EuropadelSur,26,Europe
Brian Ocampo,FaroSports,25June1999,,8M€,2M€,,"QuilmesdeFlorida,ClubNacional(2015-2018)",,Right,STR(Striker),LaLiga,271.4k€annual,01-07-2018,30-06-2026,Nacional,,,,,transfer,,173,,AperturaUruguay,Cádiz,,Uruguay,68,7.8,"24,14,29,26,13,10",,Florida,,Uruguay,,,,7,,,,,,Liga Española,,7.8M€,,,,74,Sudamérica,23,AmericadelSur
Sergi Guardiola,JVSPORTSSL,29May1991,,2M€,2.5M€,,,,Left,STR(Striker),LaLiga,989.1k€annual,25-01-2019,30-06-2024,RealValladolid,,,75,36,transfer,,184,,LaLiga,Cádiz,,Spain,66,3,"7,14,19,12,9,15",73,Manacor,,Spain,74,61,,16,,67,,,,Liga Española,,3M€,,,,75,EuropadelSur,31,Europe
Iván Alejo,,10February1995,,,1.2M€,,"CDParquesol,RealVallladolid(2003-2011)",,Right,STR(Striker),LaLiga,757.7k€annual,04-08-2020,30-06-2025,Getafe,,,76,41,transfer,,186,,LaLiga,Cádiz,,Spain,64,2.1,"11,17,23,10,20,12",77,Valladolid,,Spain,66,73,,14,,68,,,,Liga Española,,2.1M€,,,,70,EuropadelSur,27,Europe
Mamady Diarra,WSMA,26June2000,,,,,,,Right,STR(Striker),LaLiga,20.3k€annual,01-07-2019,30-06-2023,CádizCFMirandilla,,,,,transfer,,170,,SegundaDivisiónRFEF,Cádiz,,Mali,50,0.2,"17,12,14,7,21",,Bamako,,Mali,,,,29,,,,,,Liga Española,,,,,,61,AfricaOccidental,22,Africa
David Soria,Promoesport,04April1993,,3M€,10M€,,,72,Right,GOA(Goalkeeper),LaLiga,1.5M€annual,13-07-2018,30-06-2023,Sevilla,,81,,,transfer,,190,,LaLiga,Getafe,,Spain,78,8.4,"31,33,30",,Madrid,,Spain,,,81,13,,,83,,84,Liga Española,,8.4M€,61,,25-05-2021,81,EuropadelSur,29,Europe
Kiko Casilla,CONTROLORIENTADO,02October1986,,1M€,,,,71,Right,GOA(Goalkeeper),LaLiga,2.1M€annual,17-01-2019,30-06-2023,Elche,,69,,,transfer,,191,,LaLiga,Getafe,,Spain,54,0.2,"1,33,26,12,23",,Alcover,,Spain,,,68,13,,,72,,72,Liga Española,,,69,,,78,EuropadelSur,36,Europe
V. Bellmunt,,28January2000,,,,,,,Unknown,GOA(Goalkeeper),LaLiga,,03-08-2020,30-06-2023,GetafeB,,,,,transfer,,,,TerceraDivisiónRFEF,Getafe,,Spain,48,,"33,1",,Villarreal,,Spain,,,,13,,,,,,Liga Española,,,,,,57,EuropadelSur,23,Europe
Diego Conde,,28October1998,,1M€,,,,,Right,GOA(Goalkeeper),LaLiga,79k€annual,,,Leganés,,,,,transfer,,188,,SecondDivision,Getafe,,Spain,39,0.1,"30,13,1",,Madrid,,Spain,,,,27,,,,,,Liga Española,,,,,,51,EuropadelSur,24,Europe
Djené,SPORTBACK,31December1991,,2M€,8M€,,,,Two-Footed,DF(Defender),LaLiga,2M€annual,24-07-2017,30-06-2023,Sint-TruidenseV.V.,40M€,,66,62,transfer,,176,,BelgianProLeague,Getafe,,Togo,77,6.8,"21,3,12",72,Dapaong,,Togo,77,59,,2,,43,,,,Liga Española,,6.8M€,,Puma,,82,AfricaOccidental,31,Africa
Stefan Mitrović,,22May1990,,3M€,2M€,,,,Two-Footed,DF(Defender),LaLiga,788.1k€annual,06-07-2021,30-06-2024,Strasbourg,,,45,48,transfer,,189,,Ligue1,Getafe,,Serbia,76,4.2,"23,25,15,22,5,29,6",33,Belgrade,,Serbia,68,48,,13,,37,,,,Liga Española,,4.2M€,,Nike,,80,EuropadelEste,32,Europe
Domingos Duarte,PCRSports,10March1995,,8M€,8M€,,,,Right,DF(Defender),LaLiga,1.2M€annual,14-07-2019,30-06-2026,Granada,,,53,55,transfer,,192,,SecondDivision,Getafe,,Portugal,73,7.6,"14,6,15,57,5,17,13,4,9",61,Cascais,,Portugal,67,52,,22,,32,,,,Liga Española,,7.6M€,,,,78,EuropadelSur,27,Europe
Damián Suárez,GBGGlobalBusinessGroup,27April1988,,1M€,1.5M€,,DefensorSporting(-2006),,Right,DF(Defender),LaLiga,1.2M€annual,08-07-2015,30-06-2023,Elche,,,75,62,transfer,,173,,LaLiga,Getafe,,Uruguay,74,1.5,"2,19,17",75,Montevideo,,Uruguay,76,73,,22,,71,,,,Liga Española,,1.5M€,,,20-05-2022,81,Sudamérica,34,AmericadelSur
Omar Alderete,LaSquadraSports,26December1996,,8M€,4M€,,,,Left,DF(Defender),LaLiga,1.3M€annual,05-10-2020,30-06-2025,HerthaBSC,,,62,56,transfer,,188,,Bundesliga,Getafe,,Paraguay,72,6.5,"20,15,25,3,13,17,14,7,30,5",64,Asunción,,Paraguay,71,58,,6,,52,,,,Liga Española,,6.5M€,,,,77,Sudamérica,26,AmericadelSur
Fabrizio Angileri,,15March1994,,,,,,,Left,DF(Defender),LaLiga,,,,RiverPlate,,,75,59,,,182,,PrimeraDivision,Getafe,,Argentina,67,3.6,"21,4",79,Mendoza,,Argentina,75,75,,3,,71,,,,Liga Española,,,,,,77,Sudamérica,28,AmericadelSur
Juan Iglesias,Interfootball,03July1998,,4M€,3.5M€,,,,Right,DF(Defender),LaLiga,248k€annual,01-07-2021,30-06-2026,GetafeB,,,,,transfer,,185,,TerceraDivisiónRFEF,Getafe,,Spain,65,4.6,"2,29",,Valladolid,,Spain,,,,21,,,,,,Liga Española,,4.6M€,,,19-08-2021,71,EuropadelSur,24,Europe
Jordan Amavi,Classico,09March1994,,1M€,3M€,,"SportingToulonVar(2001-2010),OGCNice(2010-2013)",,Left,DF(Defender),LaLiga,2.4M€annual,01-07-2018,30-06-2025,Nice,,,75,63,transfer,,176,,Ligue1,Getafe,,France,57,2.8,"23,12,3,19,33,14,5,32",77,Toulon,,France,76,71,,18,,63,,,,Liga Española,,2.8M€,,,,76,EuropaOccidental,28,Europe
Gastón Álvarez,FGM,24March2000,,2M€,5M€,,"BocaJuniorsdeMelo,CerroLargo,DefensorSporting(2016-2018)",,Left,DF(Defender),LaLiga,7.3k€annual,01-01-2019,30-06-2023,BostonRiver,,,,,transfer,,184,,AperturaUruguay,Getafe,,Uruguay,59,3.5,"4,2,28,6",,Melo,,Uruguay,,,,3,,,,,,Liga Española,,3.5M€,,,,70,Sudamérica,22,AmericadelSur
Alex Rodriguez,NiagaraSportsCompany,21March2002,,,,,,,Right,DF(Defender),TerceraDivisiónRFEF,,,30-06-2023,Getafe,,,,,transfer,,0.1,,LaLiga,GetafeB,,Spain,49,,"2,23",,Fuenlabrada,,Spain,,,,32,,,,,,Liga Española,,,,,,65,EuropadelSur,20,Europe
Koffi,JVSPORTSSL,20November2001,,,,,,,Right,DF(Defender),TerceraDivisiónRFEF,143.5k€annual,,30-06-2023,Getafe,,,,,transfer,,0.1,,LaLiga,GetafeB,,Ghana,50,,"28,26,40",,Accra,,Ghana,,,,14,,,,,,Liga Española,,,,,,63,AfricaOccidental,21,Africa
Gorka,EpicSports,01August2004,,,,,,,Unknown,DF(Defender),TerceraDivisiónRFEF,,,30-06-2024,Getafe,,,,,transfer,,,,LaLiga,GetafeB,,Spain,43,,"16,26,23",,Leganés,,Spain,,,,29,,,,,,Liga Española,,,,,,64,EuropadelSur,18,Europe
Alex Revuelta,TENGOALSPORT,16April2000,,1M€,,,,,Left,DF(Defender),TerceraDivisiónRFEF,27.6k€annual,,30-06-2023,Getafe,,,,,transfer,,0.1,,LaLiga,GetafeB,,Spain,55,,"31,5",,JerezdelaFrontera,,Spain,,,,4,,,,,,Liga Española,,,,,,66,EuropadelSur,22,Europe
P. Ramirez,SportsInvestUKltd,18March2003,,,,,,,Unknown,DF(Defender),TerceraDivisiónRFEF,,,30-06-2023,Getafe,,,,,transfer,,,,LaLiga,GetafeB,,,47,,"4,27,18",,,,Spain,,,,36,,,,,,Liga Española,,,,,,66,,19,
Maksimovic,Promoesport,26January1995,,3M€,10M€,,GučevoBanjaKoviljačaFKLoznica(2002–2007),,Right,MID(Midfielder),LaLiga,1.3M€annual,16-07-2018,30-06-2024,Valencia,,,66,60,transfer,,189,,LaLiga,Getafe,,Serbia,74,13.7,"20,8,19,18,16,7,2",59,BajinaBašta,,Serbia,75,72,,6,,65,,,,Liga Española,,13.7M€,,Adidas,,82,EuropadelEste,28,Europe
Mauro Arambarri,CAAStellar,30September1995,,2M€,15M€,,"Gladiador,Tropezón(2003-2010),NacionaldeSalto(2010)",,Right,MID(Midfielder),LaLiga,1.3M€annual,01-07-2018,30-06-2023,GirondinsBordeaux,,,65,62,transfer,,177,,Ligue2,Getafe,,Uruguay,72,12.6,"8,6,10,12",52,Tropezón,,Uruguay,69,70,,18,,63,,,,Liga Española,,12.6M€,,,,78,Sudamérica,27,AmericadelSur
Luis Milla,Promoesport,07October1994,,6M€,5M€,,,,Right,MID(Midfielder),LaLiga,1.1M€annual,04-08-2020,30-06-2027,Granada,,,76,64,transfer,,175,,SecondDivision,Getafe,,Spain,74,7.2,"6,22,17",77,Madrid,,Spain,76,75,,5,,69,,,,Liga Española,,7.2M€,,,,77,EuropadelSur,28,Europe
Carles Aleña,"Puyol,DelaPeña&Sostres",05January1998,,10M€,10M€,,MaristesdeMataró(-2005),,Left,MID(Midfielder),LaLiga,4M€annual,10-07-2021,30-06-2026,Barcelona,75M€,,74,54,transfer,,180,,LaLiga,Getafe,,Spain,72,11.7,"26,6,10,28,24,21,19,37",72,Mataró,,Spain,67,72,,11,,62,,,,Liga Española,,11.7M€,,Adidas,,77,EuropadelSur,25,Europe
Jaime Seoane,FootfeelISM,22January1997,,3M€,3.5M€,,EMFAluche(2003-2006),,Right,MID(Midfielder),LaLiga,944.1k€annual,31-01-2020,30-06-2025,Huesca,,,71,55,transfer,,177,,SecondDivision,Getafe,,Spain,66,3.6,"8,33,17,16,38",71,Madrid,,Spain,69,68,,20,,62,,,,Liga Española,,3.6M€,,,,74,EuropadelSur,26,Europe
Gonzalo Villar,FootfeelISM,23March1998,,4M€,4.5M€,,,,Right,MID(Midfielder),LaLiga,1.7M€annual,30-01-2020,30-06-2024,Sampdoria,,,,,transfer,,182,,SerieA,Getafe,,Spain,59,4.6,"14,10,4,24,6,27,15",,Murcia,,Spain,,,,8,,,,,,SerieA,,4.6M€,,,,69,EuropadelSur,24,Europe
Ángel Algobia,Hat-trick,23June1999,,1M€,1.5M€,,,,Right,MID(Midfielder),LaLiga,18.2k€annual,01-08-2020,30-06-2023,GetafeB,,,,,transfer,,180,,TerceraDivisiónRFEF,Getafe,,Spain,58,2.1,"22,29,6,32,35",,VelilladeSanAntonio,,Spain,,,,16,,,,,,Liga Española,,2.1M€,,,11-08-2022,66,EuropadelSur,23,Europe
Enes Ünal,FutureBall,10May1997,,20M€,25M€,,,,Right,STR(Striker),LaLiga,1M€annual,12-08-2020,30-06-2025,RealValladolid,,,74,39,transfer,,185,,LaLiga,Getafe,,Turkey,78,25.8,"9,16,15,17,97,12",69,Bursa,,Turkey,76,62,,10,,72,,,,Liga Española,,25.8M€,,,,82,OrienteMedio,25,Europe
Borja Mayoral,Footfeel&EchoSports,05April1997,01-08-2022,15M€,9M€,20M€,"ADParla(2004-2007),RealMadrid(2007-2015)",,Right,STR(Striker),LaLiga,3.2M€annual,02-10-2020,30-06-2027,Roma,,,74,40,14transfers,,181,,SerieA,Getafe,,Spain,75,11.4,"9,29,17,18,19,2,25,16",67,Parla,,Spain,74,65,,21,,67,,,,Liga Española,,11.3M€,,,,79,EuropadelSur,25,Europe
Portu,Wasserman,21May1992,,3M€,5M€,,"CDBeniel(1996-1999),RealMurcia(1999-2007)",,Right,STR(Striker),LaLiga,2.2M€annual,01-07-2019,30-06-2024,R.Sociedad,,,83,57,transfer,,167,,LaLiga,Getafe,,Spain,72,6.8,"9,15,30,11,19",90,Beniel,,Spain,80,79,,7,,75,,,,Liga Española,,6.8M€,,,,81,EuropadelSur,30,Europe
Jaime Mata,Viasport,24October1988,,1M€,2M€,,,,Right,STR(Striker),LaLiga,1.4M€annual,01-07-2018,30-06-2024,RealValladolid,,,72,35,transfer,,186,,LaLiga,Getafe,,Spain,58,1.7,"9,17",69,Madrid,,Spain,74,60,,7,,65,,,,Liga Española,,1.7M€,,,06-01-2021,83,EuropadelSur,34,Europe
Munir El Haddadi,FeelWinner,01September1995,,3M€,4M€,,"CDGalapagar(2007-2009),DAVSantaAna(2009-2010),AtléticodeMadrid(2010-2011)",,Left,STR(Striker),LaLiga,3.1M€annual,28-05-2018,30-06-2023,Sevilla,90M€,,83,39,transfer,,175,,LaLiga,Getafe,,Spain,63,6,"17,19,10,9,31,24,30,7",80,ElEscorial,,Morocco,72,74,,11,,77,,,,Liga Española,,6M€,,Adidas,,78,EuropadelSur,27,Europe
Juanmi Latasa,NiagaraSportsCompany,23March2001,,1M€,1M€,,UnionAdarve(2013-2016),,Left,STR(Striker),LaLiga,124.3k€annual,01-07-2019,30-06-2024,RMCastilla,,,,,transfer,,192,,PrimeraDivisiónRFEF,Getafe,,Spain,53,1.4,"14,9,24,18,19,39,29",,Madrid,,Spain,,,,21,,,,,,Liga Española,,1.4M€,,,,66,EuropadelSur,21,Europe
Moi Parra,IMS,24June2002,,,,,,,Unknown,STR(Striker),TerceraDivisiónRFEF,,,30-06-2023,Getafe,,,,,transfer,,,,LaLiga,GetafeB,,Spain,48,,"11,16,17,12,10",,Huelva,,Spain,,,,30,,,,,,Liga Española,,,,,,62,EuropadelSur,20,Europe
John Joe Patrick Finn,,24September2003,,,,,"RealMadrid,CDCanillas,AlcobendasCF",,Right,STR(Striker),TerceraDivisiónRFEF,,,,Getafe,,,,,,1,193,18years,LaLiga,GetafeB,18years,Spain,39,0.6,"38,30,8,23,31",,Madrid,2,Ireland,,,,28,1,,,08/10/2021,,Liga Española,11/10/2021,,,,,59,EuropadelSur,19,Europe
Édgar Badía,Wasserman,12February1992,,3M€,4M€,,,76,Right,GOA(Goalkeeper),LaLiga,872.1k€annual,05-01-2019,30-06-2025,ReusDeportiu,,71,,,transfer,,180,,TerceraDivision,Elche,,Spain,71,3.5,"1,50",,Barcelona,,Spain,,,78,13,,,76,,81,Liga Española,,3.5M€,57,,10-08-2022,75,EuropadelSur,30,Europe
Axel Werner,Miembrodesufamilia,28February1996,,50M€,800k€,,,75,Right,GOA(Goalkeeper),LaLiga,518.2k€annual,30-06-2017,30-06-2023,ArsenaldeSarandí,,72,,,transfer,,186,,PrimeraDivision,Elche,,Argentina,56,0.9,"1,20,25,12,28",,Rafaela,,Argentina,,,68,13,,,74,,70,Liga Española,,897k€,58,,,63,Sudamérica,26,AmericadelSur
Juanpe,,21August1998,,,,,,,Right,GOA(Goalkeeper),LaLiga,,,,Ilicitano,,,,,,,183,,TerceraDivisiónRFEF,Elche,,Spain,47,0,"31,1",,Murcia,,Spain,,,,13,,,,,,Liga Española,,,,,,56,EuropadelSur,24,Europe
Jesús López,InterStarDeporte,01August2002,,1M€,,,AtléticoCiudaddeBenidorm(-2019),,Right,GOA(Goalkeeper),TerceraDivisiónRFEF,,,30-06-2023,Elche,,,,,transfer,,,,LaLiga,Ilicitano,,Spain,47,,"13,31,30",,laNucia,,Spain,,,,28,,,,,,Liga Española,,,,,,59,EuropadelSur,20,Europe
Pol Lirola,UniversalTwentyTwo,13August1997,,7M€,3M€,,"RCDEspanyol(2013-2015),JuventusFC(2015-2016)",,Right,DF(Defender),LaLiga,1.4M€annual,23-08-2021,30-06-2026,OlympiqueMarseille,,,74,58,transfer,,183,,Ligue1,Elche,,Spain,69,5.5,"29,20,2,24,16,7",77,MolletdelVallès,,Spain,68,70,,21,,54,,,,Liga Española,,5.5M€,,Nike,,76,EuropadelSur,25,Europe
Enzo Roco,FernandoFelicevich,16August1992,,2M€,2M€,,CDUniversidadCatólica,,Right,DF(Defender),LaLiga,808.1k€annual,09-07-2021,30-06-2023,FatihKaragümrük,,,55,64,transfer,,191,,TurkishSüperLig,Elche,,Chile,70,2.8,"5,26,12,6,2",49,Santiago,,Chile,73,49,,3,,34,,,,Liga Española,,2.8M€,,Nike,,77,Sudamérica,30,AmericadelSur
Helibelton Palacios,WORLDSPORTSMANAGEMENTSAS,11June1993,,10M€,1.2M€,,,,Right,DF(Defender),LaLiga,580.1k€annual,04-02-2021,30-06-2023,At.Nacional,,,69,55,transfer,,180,,ClausuraColombia,Elche,,Colombia,68,3.1,"14,18,23,31,17",84,SantanderdeQuilichao,,Colombia,75,57,,13,,41,,,,Liga Española,,3.1M€,,,,79,Sudamérica,29,AmericadelSur
Gonzalo Verdú,RGFOOTBALL,21October1988,,1M€,700k€,,,,Right,DF(Defender),LaLiga,655.7k€annual,01-07-2017,30-06-2023,FCCartagena,,,58,51,transfer,,187,,SecondDivision,Elche,,Spain,67,1,6,62,Cartagena,,Spain,72,53,,5,,54,,,,Liga Española,,1M€,,,05-08-2021,74,EuropadelSur,34,Europe
Carlos Clerc,RafaelAnguita,21February1992,,1M€,2M€,,,,Left,DF(Defender),LaLiga,1M€annual,01-07-2019,30-06-2024,Levante,,,77,60,transfer,,182,,SecondDivision,Elche,,Spain,68,2.7,"11,12,23,21,17,28",87,Badalona,,Spain,75,71,,19,,60,,,,Liga Española,,2.7M€,,,,76,EuropadelSur,30,Europe
Nico Fernández,PRISports,11January2000,,,2.5M€,,,,Left,DF(Defender),LaLiga,29.6k€annual,01-07-2021,30-06-2027,SanLorenzo,,,,,transfer,,172,,PrimeraDivision,Elche,,Argentina,65,2.4,"22,29,39",,BuenosAires,,Argentina,,,,26,,,,,,Liga Española,,2.4M€,,,,73,Sudamérica,23,AmericadelSur
Pedro Bigas,,15May1990,,1M€,1M€,,,,Left,DF(Defender),LaLiga,868.9k€annual,07-07-2021,30-06-2023,Eibar,,,62,56,transfer,,181,,SecondDivision,Elche,,Spain,66,1.5,"3,6,28,5",66,PalmadeMallorca,,Spain,68,56,,17,,48,,,,Liga Española,,1.5M€,,,,73,EuropadelSur,32,Europe
Diego González,,,,,,,,,Right,MID(Midfielder),,,,,,,,,,,,,,,,,,25,,,,,,Paraguay,,,,18,,,,,,SerieA,,,,,,25,,0,
Carmona,380amk,29January2002,,7M€,5M€,,,,Right,DF(Defender),LaLiga,67.1k€annual,,30-06-2024,Sevilla,,,,,transfer,,5.3,,LaLiga,Elche,,Spain,65,,"32,40,4,38",,ElVisodelAlcor,,Spain,,,,30,,,,,,Liga Española,,5.3M€,,,,74,EuropadelSur,21,Europe
Lisandro Magallán,SP,27September1993,,,2.5M€,,,,Right,DF(Defender),LaLiga,750.9k€annual,28-05-2018,30-06-2023,Ajax,,,55,50,transfer,,181,,Eredivisie,Elche,,Argentina,60,2.1,"6,15,2,22,29,28,7,26",53,LaPlata,,Argentina,71,48,,16,,35,,,,Liga Española,,2.1M€,,Adidas,,74,Sudamérica,29,AmericadelSur
C. Soler,MESASSPORT,05April2000,,40M€,,,,,Right,DF(Defender),TerceraDivisiónRFEF,49.9k€annual,,30-06-2023,Elche,,,,,transfer,,0.2,,LaLiga,Ilicitano,,Spain,57,,"2,30,18",,ElPalmar,,Spain,,,,27,,,,,,Liga Española,,,,,,68,EuropadelSur,22,Europe
John Nwankwo,,25September2000,,,,,,,Right,DF(Defender),LaLiga,,,,Ilicitano,,,,,,,185,,TerceraDivisiónRFEF,Elche,,Spain,45,0.6,"6,12",,Murcia,,Spain,,,,26,,,,,,Liga Española,,,,,,56,EuropadelSur,22,Europe
