,Agent,Dateofbirth,Latesttransfer,CIESvalue,TMvalue,Totaltransfers,Timeinyouthteam,Goalkicks,Dominantfoot,Position,Maincompetition,Salary,Startofcontract,Contractexpiration,Previousclub,Releaseclause,Saves,Dribble,Defender,Transfers,Offthebench,Altura,Ageinlastgame,Previouscompetition,Currentclub,Ageondebut,Countryofbirth,ELO,Market value,Othershirtnumbers,Tempo,Placeofbirth,Timescalledup,Nacionalidad(es),Physical,Pass,Placement,Mostcommonshirtnumber,Matchesasastarter,Shot,Stretch,Debut,Reflexes,Liga,Lastmatch,Marketvalue,Jump,Provider,Latestrenewal,Potential,Regionofbirth,Edad,Continentofbirth
D. Zappacosta,,11June1992,,,,,GCSora(1998-2008),,Right,DF(Defender),SerieA,,,,Genoa,,,74,62,,4,185,29years,SerieB,Atalanta,23years,Italy,73,5.8,"77,7,2,22,3,13",75,Sora,17,Italy,71,72,,21,9,70,,29/05/2016,,SerieA,15/11/2021,,,,,77,EuropadelSur,30,Europe
G. Scalvini,TMPSOCCERsrl,11December2003,,35M€,20M€,,BresciaCalcio(2014-2015),,Right,DF(Defender),SerieA,13k€annual,,30-06-2027,AtalantaSub19,,,,,transfer,,194,,LegaPrimaveraU19,Atalanta,,Italy,71,19.4,"6,5,14,19",,Chiari,,Italy,,,,42,,,,,,SerieA,,19.4M€,,,,83,EuropadelSur,19,Europe
Caleb Okoli,PDPs.r.l.PasqualinD’AmicoPartners,13July2001,,7M€,10M€,,Vicenza,,Right,DF(Defender),SerieA,434.7k€annual,12-07-2021,30-06-2026,Cremonese,,,,,transfer,,187,,SerieA,Atalanta,,Italy,68,8.5,"55,20,15,13",,Vicenza,,Italy,,,,5,,,,,,SerieA,,8.5M€,,,,78,EuropadelSur,21,Europe
B. Soppy,CAAStellar,21February2002,,6M€,10M€,,"CFFParis(2011-2017),StadeRennais(2017-2019)",,Right,DF(Defender),SerieA,313k€annual,30-08-2021,30-06-2026,Udinese,,,,,transfer,,181,,SerieA,Atalanta,,France,59,9.9,"2,34,19,12,24,15,17",,Aubervilliers,,France,,,,93,,,,,,SerieA,,9.9M€,,,,73,EuropaOccidental,20,Europe
M. Ruggeri,TMPSOCCERsrl,11July2002,,3M€,2M€,,,,Left,DF(Defender),SerieA,471.1k€annual,01-09-2020,30-06-2026,Salernitana,,,,,transfer,,187,,SerieA,Atalanta,,Italy,60,2.7,"40,13,22,19,14,16",,SanGiovanniBianco,,Italy,,,,3,,,,,,SerieA,,2.7M€,,Puma,09-07-2021,75,EuropadelSur,20,Europe
Teun Koopmeiners,Wasserman,28February1998,,50M€,30M€,,"Vitesse'22,AZ(2009-2016)",,Left,MID(Midfielder),SerieA,1.4M€annual,30-08-2021,30-06-2025,AZAlkmaar,,,69,61,transfer,,184,,Eredivisie,Atalanta,,Netherlands,83,41.9,"7,20,14,17,12,24,18,49,6,15",67,Amsterdam,,Netherlands,76,77,,8,,72,,,,SerieA,,41.9M€,,,,87,EuropaOccidental,24,Europe
Mario Pašalić,TTMA,09February1995,,20M€,25M€,,"GOŠK(2003-2005),HajdukSplit(2005-2013)",,Right,MID(Midfielder),SerieA,2.1M€annual,01-09-2020,30-06-2025,SpartakMoskva,,,72,57,transfer,,188,,RussianPremierLeague,Atalanta,,Germany,79,31.8,"15,20,8,50,80,24,32,10,16",63,Mainz,,Croatia,73,74,,88,,71,,,,SerieA,,31.8M€,,,,82,EuropaOccidental,27,Europe
Éderson,Link,07July1999,,15M€,20M€,,,,Right,MID(Midfielder),SerieA,,30-01-2022,30-06-2026,Salernitana,,,,,transfer,,182,,SerieA,Atalanta,,Brazil,74,22.4,"13,40",,CampoGrande,,Brazil,,,,15,,,,,,SerieA,,22.4M€,,Adidas,,80,Sudamérica,23,AmericadelSur
Marten De Roon,SEG,29March1991,,7M€,12M€,,"ASWH,Feyenoord(2000-2006),SpartaRotterdam(2006-2010)",,Right,MID(Midfielder),SerieA,2.5M€annual,10-08-2017,30-06-2024,Middlesbrough,,,69,65,transfer,,186,,Championship,Atalanta,,Netherlands,83,17.3,"14,44,7,6,20",69,Zwijndrecht,,Netherlands,78,71,,15,,65,,,,SerieA,,17.3M€,,Adidas,,86,EuropaOccidental,31,Europe
S. Muratore,,30May1998,,,,,Juventus(01.07.2011-),,Right,MID(Midfielder),SerieA,,,,Tondela,,,,,,,186,22years,SegundaLiga,Atalanta,22years,Italy,54,0.2,"4,5,36,37,7,45,14,8",,Cuneo,1,Italy,,,,38,1,,,13/10/2020,,SerieA,13/10/2020,,,,,54,EuropadelSur,24,Europe
